id,programme,stress,sleep_hours,exam_score
778,Business,21.51,7.22,78.4
779,Business,23.78,7.58,63.5
780,Business,4.52,4.99,80.3
781,Business,19.34,5.02,60.5
782,Business,5.90,5.94,68.8
783,Psychology,1.64,6.93,81.7
784,Business,3.60,6.95,56.6
785,Business,8.82,8.14,64.2
786,Business,6.03,7.65,72.8
787,Business,2.34,6.40,81.1
788,Psychology,18.52,7.62,33.4
789,Business,9.83,7.02,87.1
790,Business,3.12,7.28,71.3
791,Business,0.95,6.76,60.1
792,Business,5.21,7.68,89.2
793,Business,6.04,9.47,89.8
794,Psychology,14.46,8.01,80.2
795,Business,3.53,9.62,85.0
796,Psychology,11.84,5.47,73.5
797,Psychology,1.62,8.17,85.9
798,Psychology,4.13,7.83,81.9
799,Business,9.88,7.23,80.1
800,Business,30.83,6.02,47.9
801,Business,9.53,6.21,87.1
802,Business,8.24,6.87,77.1
803,Business,6.78,5.51,94.6
804,Business,1.31,5.11,75.1
805,Business,3.50,7.35,83.8
806,Psychology,28.79,6.28,74.6
807,Business,8.86,6.30,73.9
808,Psychology,0.43,6.70,82.9
809,Business,1.43,7.57,86.2
810,Business,15.32,7.34,60.4
811,Business,16.11,6.91,64.4
812,Business,40.00,5.70,54.0
813,Business,17.26,5.08,61.5
814,Business,17.98,8.37,74.6
815,Business,5.98,6.12,54.0
816,Business,40.00,6.42,55.3
817,Psychology,2.21,8.10,65.5
818,Psychology,10.43,6.17,68.9
819,Business,6.43,6.85,90.3
820,Business,2.40,6.79,76.4
821,Psychology,5.01,7.34,70.5
822,Psychology,2.24,7.26,80.2
823,Business,9.29,5.73,69.6
824,Business,21.93,6.36,70.7
825,Business,40.00,6.90,72.5
826,Business,11.68,6.83,72.2
827,Business,2.45,5.62,61.4
828,Psychology,0.50,6.63,74.6
829,Psychology,19.32,6.70,69.2
830,Psychology,27.61,5.50,62.9
831,Psychology,0.72,6.64,80.1
832,Business,2.49,6.81,74.5
833,Business,8.05,7.02,90.9
834,Business,8.52,7.72,61.1
835,Business,7.43,7.94,91.3
836,Business,4.11,5.64,84.8
837,Business,16.96,8.79,75.9
838,Business,7.22,6.56,65.6
839,Psychology,11.72,8.41,77.1
840,Business,2.98,7.44,87.8
841,Psychology,12.75,9.37,83.0
842,Psychology,1.51,7.61,68.4
843,Psychology,40.00,6.61,51.2
844,Psychology,8.64,7.12,54.5
845,Psychology,18.81,5.83,72.2
846,Psychology,40.00,5.15,73.4
847,Business,22.38,7.67,63.2
848,Psychology,11.44,8.27,96.1
849,Business,6.34,5.97,72.8
850,Psychology,4.71,7.84,73.2
851,Business,1.92,7.77,89.7
852,Business,1.28,9.33,67.5
853,Business,1.62,7.14,68.2
854,Psychology,6.30,7.35,66.1
855,Psychology,10.68,5.39,79.5
856,Psychology,1.04,4.91,89.7
857,Business,2.11,6.70,89.1
858,Psychology,7.98,7.43,73.8
859,Business,13.71,8.13,87.9
860,Business,24.78,7.15,44.7
861,Business,14.95,8.24,83.5
862,Business,40.00,6.28,69.4
863,Business,5.06,6.26,80.5
864,Business,4.95,4.75,68.1
865,Business,40.00,7.63,75.0
866,Business,30.21,7.56,55.2
867,Psychology,33.03,3.69,35.0
868,Psychology,3.30,6.79,66.4
869,Business,5.46,6.84,74.2
870,Psychology,29.65,6.61,71.4
871,Business,6.79,6.47,54.7
872,Business,2.53,7.50,92.3
873,Business,0.77,7.20,75.8
874,Psychology,14.93,7.57,85.5
875,Business,31.77,7.45,72.1
876,Psychology,4.57,8.31,72.0
877,Business,4.51,6.04,76.3
878,Psychology,6.94,7.45,86.8
879,Psychology,1.04,7.81,73.3
880,Business,6.16,6.09,60.5
881,Psychology,5.69,6.40,64.7
882,Business,8.73,9.11,81.3
883,Psychology,1.57,7.35,67.6
884,Business,5.16,4.75,72.6
885,Business,15.59,6.66,82.1
886,Psychology,22.53,6.48,75.7
887,Business,23.59,4.99,73.2
888,Business,14.27,7.54,82.0
889,Psychology,40.00,6.02,40.9
890,Psychology,38.16,4.45,49.0
891,Psychology,13.35,7.31,62.5
892,Psychology,34.57,4.25,45.4
893,Business,5.49,7.47,66.8
894,Business,0.01,5.99,91.5
895,Psychology,8.41,8.60,69.6
896,Psychology,40.00,4.15,41.5
897,Business,25.06,6.63,84.3
898,Psychology,25.85,7.79,69.1
899,Business,24.84,7.55,71.6
900,Psychology,1.64,4.90,56.6
901,Psychology,6.01,7.72,75.7
902,Psychology,0.20,7.04,100.0
903,Business,0.16,8.00,90.7
904,Business,14.38,6.69,76.2
905,Business,40.00,6.70,55.6
906,Psychology,5.31,7.25,69.1
907,Business,2.41,5.96,68.0
908,Psychology,34.04,6.03,57.8
909,Business,4.09,5.08,83.1
910,Psychology,32.08,7.68,69.2
911,Business,30.40,7.51,66.2
912,Psychology,8.86,7.30,80.8
913,Business,20.18,6.13,66.6
914,Business,9.86,8.16,72.8
915,Psychology,1.12,6.62,100.0
916,Psychology,2.24,8.97,68.2
917,Business,1.28,7.87,91.5
918,Psychology,40.00,6.32,61.1
919,Business,30.32,6.31,59.3
920,Psychology,15.97,7.46,61.8
921,Business,9.10,9.70,75.7
922,Business,6.98,7.13,62.5
923,Business,7.59,7.71,67.8
924,Psychology,25.64,6.67,84.0
925,Business,11.82,6.28,83.2
926,Psychology,6.19,6.61,74.3
927,Psychology,5.76,7.19,61.1
928,Business,0.88,6.29,75.1
929,Psychology,0.50,7.26,52.6
930,Business,23.91,6.89,85.4
931,Business,2.25,7.22,88.6
932,Psychology,11.08,7.62,79.2
933,Business,40.00,6.48,55.3
934,Business,8.27,7.43,60.1
935,Business,18.98,7.97,78.7
936,Psychology,4.31,5.39,77.4
937,Psychology,27.58,5.95,63.4
938,Business,8.40,4.55,47.7
939,Psychology,28.82,5.69,69.6
940,Psychology,0.86,7.36,71.0
941,Psychology,5.35,6.30,81.0
942,Psychology,20.12,7.17,83.8
943,Business,5.73,7.65,74.4
944,Business,13.47,7.03,72.3
945,Business,5.67,6.57,88.2
946,Business,9.75,5.79,84.7
947,Psychology,23.04,5.93,65.5
948,Business,9.42,7.29,72.2
949,Business,1.91,8.15,69.7
950,Business,40.00,6.02,61.0
951,Business,15.87,7.33,43.7
952,Business,1.92,6.46,89.3
953,Business,5.40,8.69,66.2
954,Business,39.38,5.03,55.3
955,Business,9.10,5.83,91.9
956,Psychology,0.82,7.80,88.8
957,Business,13.35,3.99,49.3
958,Psychology,3.96,8.63,77.2
959,Psychology,7.00,7.87,100.0
960,Business,12.28,6.78,81.6
961,Business,17.09,6.23,66.5
962,Psychology,1.16,8.11,93.5
963,Business,40.00,6.24,61.1
964,Psychology,8.16,6.05,76.8
965,Business,11.45,7.31,79.4
966,Psychology,6.82,6.97,49.3
967,Psychology,6.17,8.89,100.0
968,Business,1.73,6.53,82.9
969,Psychology,7.94,5.92,87.6
970,Business,10.96,7.17,71.6
971,Business,27.35,7.76,72.0
972,Psychology,7.99,7.15,82.8
973,Psychology,0.98,6.57,70.6
974,Psychology,13.52,6.93,64.8
975,Psychology,8.41,6.03,74.9
976,Psychology,1.96,6.48,82.9
977,Psychology,8.88,7.47,79.1
978,Psychology,5.11,6.81,92.6
979,Business,5.20,6.71,80.6
980,Business,3.59,7.24,71.6
981,Business,31.91,7.48,58.6
982,Psychology,14.04,7.18,69.6
983,Business,17.11,6.68,59.0
984,Psychology,12.19,7.18,76.4
985,Psychology,20.32,5.58,64.1
986,Psychology,0.21,6.86,77.0
987,Psychology,0.07,6.34,69.3
988,Psychology,8.00,7.71,81.6
989,Business,40.00,6.82,61.9
990,Business,29.38,6.37,77.6
991,Psychology,38.49,5.00,62.5
992,Psychology,40.00,4.97,49.6
993,Psychology,9.61,6.72,73.8
994,Psychology,18.37,5.24,71.6
995,Psychology,23.76,6.39,67.7
996,Psychology,2.15,6.97,99.8
997,Psychology,6.57,10.53,76.6
998,Psychology,6.22,8.45,66.6
999,Business,3.18,5.78,65.6
1000,Psychology,22.36,6.17,65.8
1001,Psychology,7.50,7.66,84.7
1002,Psychology,15.78,4.87,74.3
1003,Business,24.07,7.16,80.1
1004,Business,1.37,6.88,66.8
1005,Business,12.77,8.71,71.5
1006,Psychology,21.47,5.97,88.7
1007,Business,6.72,6.39,60.6
1008,Business,24.89,5.08,51.8
1009,Business,32.27,5.28,49.9
1010,Business,6.76,5.50,68.3
1011,Business,4.73,7.79,99.9
1012,Business,19.33,5.13,73.0
1013,Business,32.15,5.45,70.9
1014,Psychology,1.95,8.32,76.4
1015,Psychology,3.30,8.84,65.3
1016,Psychology,39.58,6.19,56.3
1017,Psychology,3.21,6.89,74.6
1018,Psychology,10.34,7.34,81.9
1019,Business,3.23,7.04,78.3
1020,Psychology,26.50,4.93,77.9
1021,Psychology,40.00,5.86,65.7
1022,Psychology,5.57,9.10,100.0
1023,Business,8.90,5.58,63.6
1024,Business,11.23,6.28,82.9
1025,Business,11.81,7.62,82.5
1026,Business,12.07,6.88,63.3
1027,Psychology,23.30,6.54,56.4
1028,Business,5.95,6.14,93.3
1029,Psychology,16.78,7.38,64.8
1030,Psychology,22.58,6.60,54.9
1031,Business,9.91,5.61,73.6
1032,Business,16.50,6.30,65.1
1033,Business,2.85,5.41,69.3
1034,Business,11.75,5.57,77.7
1035,Business,26.49,6.45,54.8
1036,Business,2.87,6.38,77.4
1037,Business,2.28,7.87,91.6
1038,Psychology,17.01,4.60,40.7
1039,Psychology,16.93,7.07,28.0
1040,Business,17.55,6.42,74.2
1041,Psychology,7.44,5.82,86.4
1042,Psychology,2.51,7.09,88.8
1043,Psychology,11.74,7.74,74.1
1044,Business,10.11,6.69,78.7
1045,Business,20.15,6.84,78.8
1046,Psychology,0.75,6.09,90.1
1047,Business,1.56,6.06,54.6
1048,Business,4.48,6.42,83.1
1049,Psychology,6.52,6.60,76.1
1050,Psychology,19.06,7.14,84.3
1051,Psychology,1.19,9.41,87.4
1052,Psychology,14.58,4.89,72.7
1053,Business,10.88,8.12,81.9
1054,Business,15.33,5.37,61.2
1055,Business,30.44,8.13,61.6
1056,Business,3.83,7.94,88.2
1057,Psychology,40.00,3.97,30.9
1058,Business,3.88,8.04,81.5
1059,Psychology,12.46,5.54,67.2
1060,Business,6.74,6.13,71.1
1061,Business,1.94,6.88,91.6
1062,Psychology,9.23,7.83,81.7
1063,Psychology,9.64,6.16,82.1
1064,Business,8.16,5.29,96.9
1065,Psychology,3.19,4.95,69.4
1066,Business,7.05,6.99,73.9
1067,Business,1.97,6.69,83.5
1068,Business,12.75,8.94,76.5
1069,Business,4.44,8.25,71.1
1070,Psychology,20.37,6.42,82.2
1071,Business,8.89,7.51,63.3
1072,Psychology,27.28,5.62,53.9
1073,Business,25.39,7.73,58.3
1074,Business,17.10,7.74,84.8
1075,Business,5.45,6.96,82.4
1076,Psychology,9.68,5.84,77.0
1077,Business,13.88,8.69,77.3
1078,Business,0.16,9.47,77.4
1079,Psychology,40.00,6.10,64.7
1080,Psychology,5.76,8.10,65.1
1081,Psychology,4.49,7.53,82.5
1082,Psychology,10.27,6.25,74.3
1083,Psychology,4.64,6.04,78.6
1084,Psychology,7.59,7.51,88.2
1085,Psychology,17.43,6.89,75.2
1086,Psychology,1.21,6.57,70.3
1087,Business,3.57,5.78,62.5
1088,Business,7.77,7.33,83.6
1089,Business,11.19,6.07,75.9
1090,Psychology,12.12,6.43,62.8
1091,Psychology,0.06,6.55,74.6
1092,Business,37.35,5.66,48.5
1093,Business,22.42,6.23,80.9
1094,Business,11.23,8.47,70.8
1095,Business,19.51,6.46,79.4
1096,Business,0.10,5.85,67.3
1097,Business,40.00,5.13,52.9
1098,Psychology,5.48,7.32,60.6
1099,Business,0.50,7.95,75.0
1100,Psychology,14.06,8.10,65.2
1101,Psychology,33.56,7.07,50.4
1102,Business,0.88,7.61,84.8
1103,Psychology,14.09,4.77,83.7
1104,Psychology,3.38,6.47,83.7
1105,Business,18.09,6.18,68.3
1106,Business,11.66,3.10,57.9
1107,Business,34.34,5.06,54.7
1108,Psychology,12.99,6.30,65.6
1109,Business,1.37,9.26,95.9
1110,Psychology,12.15,6.50,79.9
1111,Business,11.94,6.43,67.4
1112,Psychology,8.05,8.73,100.0
1113,Psychology,15.77,6.54,70.7
1114,Business,7.42,6.44,61.3
1115,Psychology,0.87,6.58,84.0
1116,Psychology,4.12,8.88,95.4
1117,Psychology,22.88,7.83,75.3
1118,Business,1.45,7.02,84.8
1119,Psychology,4.86,6.10,81.4
1120,Business,16.43,6.19,58.3
1121,Psychology,11.21,5.93,73.9
1122,Business,17.08,7.75,77.6
1123,Business,24.81,6.21,65.9
1124,Business,10.72,6.84,90.6
1125,Business,7.76,5.24,61.5
1126,Psychology,6.50,5.92,82.4
1127,Business,18.27,5.52,68.1
1128,Psychology,8.66,7.20,55.5
1129,Business,34.71,5.47,42.5
1130,Psychology,8.46,6.16,52.7
1131,Business,25.81,6.55,80.2
1132,Business,6.18,6.61,89.3
1133,Business,12.58,4.94,70.5
1134,Business,10.51,7.49,94.4
1135,Business,14.40,7.71,78.5
1136,Business,38.17,7.90,70.2
1137,Psychology,12.98,8.05,82.6
1138,Psychology,7.03,6.05,77.4
1139,Business,3.92,6.61,72.1
1140,Psychology,7.61,7.23,74.2
1141,Business,5.40,4.85,74.2
1142,Business,1.29,7.61,74.6
1143,Psychology,6.62,8.19,84.9
1144,Business,17.58,6.85,69.9
1145,Business,9.38,8.36,86.2
1146,Business,21.02,5.24,90.8
1147,Business,2.89,7.55,79.9
1148,Psychology,0.16,9.69,95.2
1149,Psychology,22.32,6.81,59.8
1150,Psychology,26.08,7.55,66.7
1151,Business,10.41,8.39,78.0
1152,Psychology,6.55,9.22,100.0
1153,Business,27.02,5.67,80.1
1154,Business,3.50,6.49,70.5
1155,Business,2.56,7.50,82.0
1156,Business,40.00,7.92,42.3
1157,Business,5.42,8.85,82.5
1158,Business,17.93,6.33,81.6
1159,Psychology,1.36,7.76,78.7
1160,Business,11.36,7.19,94.5
1161,Psychology,35.73,4.82,42.6
1162,Business,20.58,7.05,75.0
1163,Business,33.94,5.09,71.8
1164,Business,2.28,6.38,54.8
1165,Psychology,11.35,6.54,64.5
1166,Business,1.99,8.57,85.8
1167,Psychology,4.64,8.06,74.4
1168,Business,14.14,5.99,71.4
1169,Business,40.00,6.69,62.8
1170,Psychology,5.03,7.02,79.4
1171,Business,0.81,7.57,70.9
1172,Psychology,8.01,7.48,84.7
1173,Psychology,18.37,4.27,72.7
1174,Psychology,40.00,5.94,62.8
1175,Business,16.57,6.74,84.0
1176,Business,22.95,7.08,66.6
1177,Business,10.15,6.43,83.2
1178,Business,27.53,6.70,70.4
1179,Business,3.14,6.73,81.2
1180,Psychology,1.90,6.60,99.9
1181,Psychology,24.81,6.55,58.0
1182,Psychology,4.98,4.57,72.6
1183,Psychology,19.13,6.69,92.7
1184,Psychology,5.57,6.29,78.4
1185,Psychology,7.49,7.77,100.0
1186,Psychology,3.98,7.47,81.5
1187,Business,19.42,6.02,68.9
1188,Psychology,1.56,8.02,78.2
1189,Psychology,3.50,8.20,69.7
1190,Business,1.48,8.92,95.6
1191,Psychology,22.59,5.35,73.0
1192,Psychology,21.89,4.03,72.2
1193,Psychology,11.60,6.75,55.5
1194,Business,4.32,5.39,71.9
1195,Psychology,19.77,7.75,86.7
1196,Business,8.35,5.88,87.6
1197,Psychology,0.29,6.51,85.3
1198,Psychology,7.09,7.44,78.5
1199,Psychology,22.93,7.61,68.4
1200,Business,4.89,7.82,97.9
1201,Business,7.93,7.24,76.5
1202,Business,8.26,7.79,62.8
1203,Psychology,4.23,6.85,79.3
1204,Psychology,3.96,7.04,98.7
1205,Psychology,8.64,6.62,69.0
1206,Psychology,0.69,5.23,85.1
1207,Psychology,19.94,5.47,67.6
1208,Psychology,11.29,7.23,86.6
1209,Psychology,2.99,7.34,90.4
1210,Business,1.72,8.11,85.8
1211,Psychology,22.58,6.85,68.9
1212,Psychology,14.54,5.96,60.9
1213,Psychology,9.82,8.04,75.3
1214,Business,11.55,5.78,57.9
1215,Business,8.17,9.34,94.0
1216,Psychology,2.11,6.90,62.6
1217,Business,11.04,7.86,71.7
1218,Business,4.43,6.97,70.9
1219,Business,7.07,8.61,97.8
1220,Psychology,4.54,8.61,88.8
1221,Business,3.73,8.17,69.3
1222,Psychology,1.06,7.95,83.6
1223,Psychology,16.37,8.35,72.2
1224,Psychology,2.08,7.78,68.7
1225,Business,11.14,9.66,98.5
1226,Business,32.00,8.03,63.5
1227,Psychology,1.26,8.08,89.0
1228,Business,0.78,7.00,67.4
1229,Psychology,0.79,7.84,77.3
1230,Business,1.45,6.36,90.3
1231,Business,2.12,8.92,86.3
1232,Psychology,8.70,7.20,93.2
1233,Business,1.51,7.10,73.5
1234,Business,6.93,8.73,80.4
1235,Business,2.51,7.00,96.8
1236,Business,5.26,7.44,75.8
1237,Psychology,4.69,6.76,96.7
1238,Psychology,5.28,7.70,87.1
1239,Business,3.96,7.39,70.5
1240,Psychology,23.18,8.37,78.2
1241,Psychology,5.59,8.62,92.1
1242,Psychology,11.30,7.99,84.4
1243,Business,3.79,6.31,75.1
1244,Psychology,40.00,7.13,64.9
1245,Business,5.43,7.03,66.7
1246,Psychology,0.72,4.97,92.3
1247,Psychology,37.73,3.58,67.3
1248,Business,7.79,6.77,77.9
1249,Psychology,5.12,6.66,78.7
1250,Psychology,0.34,5.97,85.6
1251,Psychology,6.78,6.63,74.9
1252,Psychology,2.36,7.74,67.8
1253,Psychology,8.32,6.00,91.4
1254,Psychology,16.33,5.60,72.2
1255,Psychology,17.68,7.12,50.2
1256,Business,8.04,6.50,69.2
1257,Psychology,2.67,6.37,73.9
1258,Business,11.24,9.46,92.0
1259,Psychology,1.54,5.77,71.7
1260,Business,19.15,6.54,57.6
1261,Business,14.34,8.94,84.5
1262,Psychology,2.92,5.83,72.7
1263,Business,22.02,8.58,54.8
1264,Business,19.15,7.96,82.2
1265,Psychology,1.95,8.45,74.8
1266,Psychology,6.29,7.56,93.3
1267,Business,15.46,6.16,70.3
1268,Psychology,1.28,6.41,90.6
1269,Psychology,3.77,6.67,79.2
1270,Business,20.00,6.61,68.8
1271,Business,1.25,5.99,78.3
1272,Business,1.22,5.71,80.1
1273,Psychology,11.06,6.22,86.0
1274,Psychology,2.85,8.23,69.0
1275,Psychology,1.60,8.94,64.3
1276,Business,14.57,5.86,82.0
1277,Psychology,6.99,7.04,77.9
1278,Psychology,15.13,5.63,75.5
1279,Business,3.44,6.95,84.5
1280,Business,5.95,7.79,76.7
1281,Psychology,29.86,8.29,76.0
1282,Business,17.27,7.80,62.0
1283,Business,16.95,6.98,82.8
1284,Psychology,0.25,6.22,72.8
1285,Business,18.47,5.69,81.9
1286,Business,0.15,6.82,69.6
1287,Business,16.25,7.82,69.7
1288,Business,9.48,7.20,61.9
1289,Psychology,3.30,10.92,75.5
1290,Psychology,0.81,8.16,94.8
1291,Psychology,6.56,7.93,51.6
1292,Business,4.98,8.94,76.0
1293,Psychology,5.92,5.94,45.9
1294,Business,17.37,6.13,84.8
1295,Business,12.60,8.26,71.3
1296,Psychology,9.53,6.29,71.0
1297,Business,32.79,6.78,48.1
1298,Psychology,2.73,7.33,47.5
1299,Business,13.21,4.91,70.0
1300,Psychology,2.54,7.22,87.6
1301,Business,15.11,6.47,45.2
1302,Psychology,15.04,4.11,63.7
1303,Business,1.94,5.17,75.2
1304,Psychology,0.73,7.40,95.1
1305,Psychology,11.47,7.07,80.8
1306,Business,5.39,7.40,71.5
1307,Business,0.02,5.91,92.6
1308,Psychology,5.32,8.49,76.4
1309,Business,34.32,6.59,59.6
1310,Business,8.16,6.66,73.3
1311,Business,10.85,8.13,88.8
1312,Psychology,19.54,7.32,50.9
1313,Business,5.48,9.04,73.1
1314,Psychology,40.00,7.69,86.2
1315,Business,9.21,7.24,80.2
1316,Business,8.58,8.05,82.0
1317,Business,16.29,5.71,68.2
1318,Business,0.57,6.98,68.5
1319,Business,1.63,7.91,56.4
1320,Psychology,40.00,6.87,50.3
1321,Psychology,1.15,7.67,76.3
1322,Business,9.85,7.11,82.9
1323,Psychology,19.15,6.90,67.1
1324,Business,6.60,8.57,83.1
1325,Business,11.96,7.88,83.8
1326,Psychology,30.45,7.41,79.2
1327,Business,15.40,6.78,67.9
1328,Business,16.13,5.35,55.1
1329,Business,4.42,6.88,67.2
1330,Psychology,26.86,6.36,72.5
1331,Psychology,8.67,5.72,83.7
1332,Business,2.00,8.32,67.5
1333,Psychology,6.20,7.75,77.1
1334,Business,6.92,7.40,100.0
1335,Business,11.82,6.77,65.9
1336,Psychology,40.00,6.51,57.6
1337,Business,14.21,8.46,68.7
1338,Psychology,24.49,7.17,77.2
1339,Psychology,4.73,6.64,89.4
1340,Psychology,11.70,4.89,61.3
1341,Business,6.01,5.67,83.7
1342,Psychology,2.36,6.29,72.0
1343,Psychology,6.41,6.09,74.0
1344,Business,17.82,6.93,48.1
1345,Psychology,13.70,6.66,78.8
1346,Psychology,9.16,7.30,79.8
1347,Psychology,3.37,8.19,78.1
1348,Business,9.11,6.26,62.4
1349,Psychology,0.57,6.98,75.1
1350,Psychology,2.05,7.87,72.3
1351,Business,0.40,7.95,68.5
1352,Psychology,5.11,6.19,74.0
1353,Business,11.01,7.21,67.8
1354,Psychology,8.87,6.22,76.9
1355,Psychology,36.19,4.98,72.1
1356,Psychology,30.15,5.35,59.5
1357,Business,0.13,7.33,78.2
1358,Psychology,3.44,8.08,86.9
1359,Psychology,0.16,6.37,80.7
1360,Business,9.11,6.02,84.6
1361,Psychology,4.45,5.55,52.8
1362,Psychology,2.73,8.03,86.6
1363,Business,1.67,5.69,62.1
1364,Psychology,0.04,7.15,59.8
1365,Business,29.19,6.56,89.3
1366,Psychology,20.36,7.40,83.2
1367,Business,2.43,7.96,68.6
1368,Psychology,40.00,7.98,62.2
1369,Psychology,29.41,6.21,70.0
1370,Psychology,7.32,5.27,98.1
1371,Psychology,2.17,7.27,80.9
1372,Psychology,8.61,6.72,80.1
1373,Psychology,0.00,9.19,67.6
1374,Psychology,7.56,8.15,79.4
1375,Psychology,11.14,5.79,87.1
1376,Business,9.44,7.69,69.8
1377,Psychology,4.25,6.05,66.1
1378,Business,17.57,6.72,61.8
1379,Psychology,11.63,4.63,69.6
1380,Business,24.67,6.91,73.8
1381,Psychology,11.40,3.67,81.2
1382,Psychology,28.89,7.07,67.7
1383,Psychology,15.15,6.93,70.7
1384,Psychology,2.34,7.09,88.1
1385,Psychology,6.89,6.54,89.3
1386,Business,5.59,8.49,74.8
1387,Psychology,37.36,6.87,35.6
1388,Psychology,4.24,5.17,52.2
1389,Business,30.59,8.53,69.4
1390,Business,4.02,7.41,79.3
1391,Business,8.34,7.61,77.8
1392,Psychology,10.02,6.75,72.1
1393,Psychology,19.80,6.58,73.0
1394,Psychology,0.41,6.75,76.2
1395,Business,15.65,6.21,67.6
1396,Psychology,11.36,7.13,59.7
1397,Psychology,3.28,8.39,70.9
1398,Business,0.83,7.66,69.0
1399,Business,0.26,7.15,98.1
1400,Business,7.68,8.14,72.8
1401,Business,2.10,8.43,82.2
1402,Psychology,13.10,8.15,80.1
1403,Psychology,1.35,7.19,76.4
1404,Business,29.35,5.81,89.3
1405,Business,5.57,6.78,80.8
1406,Business,16.09,7.81,91.4
1407,Psychology,1.79,8.29,72.0
1408,Business,19.73,5.97,66.6
1409,Business,11.80,7.90,74.8
1410,Business,13.63,6.65,63.5
1411,Psychology,4.00,8.24,78.8
1412,Business,16.11,7.85,70.6
1413,Psychology,26.68,5.35,57.1
1414,Psychology,10.58,6.24,74.8
1415,Psychology,4.56,5.01,69.1
1416,Business,26.99,5.87,47.0
1417,Business,32.12,4.22,58.3
1418,Psychology,7.77,7.18,56.0
1419,Psychology,16.42,7.36,86.2
1420,Business,9.45,5.42,66.7
1421,Psychology,5.02,5.99,91.9
1422,Business,4.14,7.70,90.6
1423,Business,1.39,6.09,74.2
1424,Psychology,7.25,7.20,79.8
1425,Psychology,13.85,7.12,80.5
1426,Psychology,29.41,7.25,59.2
1427,Business,19.31,6.85,75.5
1428,Psychology,0.79,6.86,78.8
1429,Psychology,22.39,6.75,81.1
1430,Psychology,8.13,8.87,83.2
1431,Psychology,4.04,6.92,81.4
1432,Psychology,1.46,7.00,69.6
1433,Business,9.96,7.21,80.6
1434,Business,8.42,7.14,70.9
1435,Psychology,4.10,7.01,90.4
1436,Business,29.07,7.15,67.4
1437,Psychology,24.86,6.03,70.5
1438,Psychology,2.10,7.45,82.8
1439,Business,1.38,7.51,85.9
1440,Business,8.96,6.71,93.6
1441,Psychology,12.04,6.97,61.3
1442,Psychology,3.05,8.54,92.5
1443,Business,9.66,7.29,56.0
1444,Psychology,6.71,7.47,85.6
1445,Business,13.32,6.33,52.0
1446,Psychology,23.21,5.17,80.5
1447,Psychology,30.53,6.61,55.2
1448,Business,19.97,8.18,53.8
1449,Psychology,26.63,6.91,89.9
1450,Business,1.08,4.81,52.9
1451,Business,40.00,5.85,57.1
1452,Business,5.20,7.18,83.7
1453,Business,8.24,8.61,78.5
1454,Business,18.24,7.11,79.1
1455,Psychology,15.51,7.61,86.6
1456,Psychology,11.04,7.93,83.5
1457,Psychology,33.47,3.61,56.2
1458,Business,5.21,7.14,61.2
1459,Psychology,40.00,5.27,55.8
1460,Business,6.13,8.86,100.0
1461,Business,31.66,4.91,58.7
1462,Business,21.39,5.95,53.2
1463,Business,7.04,7.05,82.2
1464,Business,40.00,5.44,59.5
1465,Psychology,3.99,6.90,80.4
1466,Business,4.06,6.10,80.5
1467,Business,0.16,6.52,78.5
1468,Business,0.27,5.02,67.8
1469,Psychology,12.19,7.94,58.8
1470,Psychology,15.71,6.04,63.3
1471,Business,3.02,8.38,91.2
1472,Psychology,18.74,6.77,82.4
1473,Business,40.00,3.09,32.0
1474,Business,13.96,6.71,76.4
1475,Business,7.54,8.20,87.0
1476,Business,36.77,3.94,49.9
1477,Psychology,24.11,7.10,64.0
1478,Psychology,1.18,6.21,84.5
1479,Psychology,4.30,6.43,88.7
1480,Business,0.85,6.49,77.7
1481,Business,1.96,7.31,100.0
1482,Business,26.79,6.32,77.7
1483,Psychology,4.05,6.75,78.1
1484,Business,4.11,8.54,72.9
1485,Business,15.06,8.56,82.2
1486,Business,16.72,8.77,77.9
1487,Business,10.36,6.70,73.7
1488,Psychology,40.00,6.00,59.1
1489,Business,0.46,7.23,66.1
1490,Business,30.67,7.18,53.1
1491,Psychology,9.09,6.60,57.9
1492,Business,10.06,7.70,85.8
1493,Psychology,5.66,7.85,80.3
1494,Psychology,40.00,5.50,63.5
1495,Business,24.87,6.64,50.0
1496,Business,5.27,7.55,74.5
1497,Business,0.46,5.80,71.1
1498,Business,13.68,7.80,77.7
1499,Business,22.53,4.84,64.5
1500,Business,17.17,7.85,82.2
1501,Business,12.22,8.75,93.3
1502,Business,10.25,7.43,69.6
1503,Business,11.51,6.84,65.2
1504,Psychology,9.07,6.21,69.2
1505,Business,8.00,6.88,80.6
1506,Business,5.50,9.24,80.9
1507,Psychology,12.71,7.87,73.1
1508,Psychology,35.15,5.14,67.0
1509,Business,40.00,7.10,88.6
1510,Business,10.00,6.60,84.9
1511,Psychology,6.16,7.15,82.9
1512,Business,7.83,7.82,74.2
1513,Business,12.62,7.20,68.1
1514,Business,3.99,9.85,77.0
1515,Psychology,13.28,6.75,72.5
1516,Psychology,31.34,5.18,41.0
1517,Business,3.24,5.23,81.3
1518,Business,6.51,7.40,79.4
1519,Psychology,12.14,5.53,91.4
1520,Psychology,14.05,7.38,70.9
1521,Business,33.88,6.66,57.1
1522,Psychology,11.72,4.56,82.6
1523,Psychology,0.48,8.08,78.1
1524,Psychology,4.03,8.36,86.9
1525,Psychology,6.70,6.94,75.1
1526,Business,25.35,6.78,60.7
